Order ID,Order Date,Customer Name,City,Country,Region,Segment,Ship Date,Ship Mode,State,lon,lat
BN-2011-7407039,01/01/2011,Ruby Patel,Stockholm,Sweden,North,Home Office,01/05/2011,Economy Plus,Stockholm,18.0685808,59.3293235
AZ-2011-9050313,01/03/2011,Summer Hayward,Southport,United Kingdom,North,Consumer,01/07/2011,Economy,England,-3.010113,53.645708
AZ-2011-6674300,01/04/2011,Devin Huddleston,Valence,France,Central,Consumer,01/08/2011,Economy,Auvergne-Rh?ne-Alpes,4.89236,44.933393
BN-2011-2819714,01/04/2011,Mary Parker,Birmingham,United Kingdom,North,Corporate,01/09/2011,Economy,England,-1.890401,52.486243
AZ-2011-617423,01/05/2011,Daniel Burke,Echirolles,France,Central,Home Office,01/07/2011,Priority,Auvergne-Rh?ne-Alpes,5.718034,45.142151
AZ-2011-2918397,01/07/2011,Fredrick Beveridge,La Seyne-sur-Mer,France,Central,Corporate,01/08/2011,Priority,Provence-Alpes-C?te d'Azur,5.878219,43.102976
BN-2011-3248724,01/08/2011,Archer Hort,Toulouse,France,Central,Consumer,01/14/2011,Economy,Languedoc-Roussillon-Midi-Pyr?n?es,1.444209,43.604652
AZ-2011-6712797,01/11/2011,Evie Flockhart,Genoa,Italy,South,Consumer,01/16/2011,Economy,Liguria,8.946256,44.4056499
AZ-2011-4827146,01/11/2011,Faith Greenwood,Vienna,Austria,Central,Consumer,01/15/2011,Economy,Vienna,16.3738189,48.2081743
AZ-2011-6439906,01/11/2011,Summer Hayward,Murcia,Spain,South,Consumer,01/15/2011,Economy,Murcia,-1.1306544,37.9922399
AZ-2011-7053593,01/11/2011,Gracie Powell,Woking,United Kingdom,North,Consumer,01/11/2011,Immediate,England,-0.5600349,51.316774
AZ-2011-5702370,01/12/2011,Hershel Snyder,Lohne,Germany,Central,Corporate,01/19/2011,Economy,Lower Saxony,8.7220862,52.1941419
AZ-2011-9927716,01/12/2011,Julia Martell,Leicester,United Kingdom,North,Home Office,01/17/2011,Economy,England,-1.1397592,52.6368778
AZ-2011-2222024,01/12/2011,Viola Watson,Sheffield,United Kingdom,North,Consumer,01/15/2011,Priority,England,-1.470085,53.381129
BN-2011-4913858,01/13/2011,Julian Dobie,Dordrecht,Netherlands,Central,Consumer,01/19/2011,Economy,South Holland,4.6900929,51.8132979
BN-2011-2807470,01/13/2011,Rose Heap,Gothenburg,Sweden,North,Consumer,01/20/2011,Economy,V?stra G?taland,11.97456,57.70887
AZ-2011-5960662,01/14/2011,Ella Troy,Vienna,Austria,Central,Home Office,01/19/2011,Economy,Vienna,16.3738189,48.2081743
AZ-2011-7675351,01/15/2011,Everett Dunbar,Langen,Germany,Central,Corporate,01/20/2011,Economy Plus,Lower Saxony,8.6634007,49.9914663
BN-2011-3770060,01/17/2011,Georgia Bermingham,Copenhagen,Denmark,North,Home Office,01/23/2011,Economy,Hovedstaden,12.5683371,55.6760968
AZ-2011-7419210,01/18/2011,Christopher Goold,Gandia,Spain,South,Corporate,01/21/2011,Priority,Valenciana,-0.1844671,38.968032
AZ-2011-1816950,01/18/2011,John Baca,Esbjerg,Denmark,North,Consumer,01/23/2011,Economy Plus,South Denmark,8.459405,55.476466
AZ-2011-3059419,01/19/2011,Kai Leonard,Sesto San Giovanni,Italy,South,Corporate,01/21/2011,Priority,Lombardy,9.2256875,45.5328245
AZ-2011-5342265,01/19/2011,Jennifer Mattingly,Trapani,Italy,South,Home Office,01/20/2011,Priority,Sicily,12.537202,38.0176177
AZ-2011-2002251,01/20/2011,Nathan Iqbal,Villiers-sur-Marne,France,Central,Consumer,01/25/2011,Economy,Ile-de-France,2.546798,48.825787
AZ-2011-5357101,01/21/2011,Noah Chamberlain,Bielefeld,Germany,Central,Consumer,01/26/2011,Economy,North Rhine-Westphalia,8.5324708,52.0302285
AZ-2011-2245674,01/22/2011,Dylan Disney,Leuven,Belgium,Central,Home Office,01/26/2011,Economy,Flemish Brabant,4.7005176,50.8798438
AZ-2011-8034411,01/22/2011,Melissa Bean,Prato,Italy,South,Home Office,01/26/2011,Economy,Tuscany,11.102228,43.8777049
AZ-2011-6684426,01/24/2011,Vaughn Gibbs,Gela,Italy,South,Home Office,01/26/2011,Economy Plus,Sicily,14.2403537,37.0741526
BN-2011-7883641,01/24/2011,William Horton,Bologna,Italy,South,Consumer,01/26/2011,Priority,Emilia-Romagna,11.3426163,44.494887
AZ-2011-4205736,01/25/2011,David Harney,Menden,Germany,Central,Corporate,02/01/2011,Economy,North Rhine-Westphalia,7.7953337,51.4377453
